epoch 183: steps 365, actor loss -0.661581, critic loss 0.258464
epoch 184: steps 532, actor loss -0.68253, critic loss 0.260059
epoch 185: steps 467, actor loss -0.670571, critic loss 0.259282
epoch 186: steps 425, actor loss -0.665063, critic loss 0.251299
epoch 187: steps 382, actor loss -0.654337, critic loss 0.244029
epoch 188: steps 504, actor loss -0.667406, critic loss 0.254286
epoch 189: steps 576, actor loss -0.657203, critic loss 0.264315
epoch 190: steps 385, actor loss -0.640377, critic loss 0.235657
epoch 191: steps 460, actor loss -0.647622, critic loss 0.244511
epoch 192: steps 371, actor loss -0.618572, critic loss 0.257609
epoch 193: steps 409, actor loss -0.624232, critic loss 0.241461
epoch 194: steps 511, actor loss -0.643186, critic loss 0.237344
epoch 195: steps 380, actor loss -0.631807, critic loss 0.232744
epoch 196: steps 399, actor loss -0.639795, critic loss 0.234693
epoch 197: steps 437, actor loss -0.626361, critic loss 0.223374
epoch 198: steps 462, actor loss -0.638497, critic loss 0.230186
epoch 199: steps 573, actor loss -0.646049, critic loss 0.234175
epoch 200: steps 535, actor loss -0.636605, critic loss 0.221676
epoch 201: steps 545, actor loss -0.620515, critic loss 0.220488
epoch 202: steps 461, actor loss -0.601285, critic loss 0.219915
epoch 203: steps 529, actor loss -0.61131, critic loss 0.223053
epoch 204: steps 434, actor loss -0.594407, critic loss 0.208382
epoch 205: steps 597, actor loss -0.603741, critic loss 0.219485
epoch 206: steps 469, actor loss -0.599542, critic loss 0.218996
epoch 207: steps 609, actor loss -0.612145, critic loss 0.208942
epoch 208: steps 363, actor loss -0.566302, critic loss 0.197132
epoch 209: steps 495, actor loss -0.602372, critic loss 0.21378
epoch 210: steps 448, actor loss -0.591223, critic loss 0.194777
epoch 211: steps 608, actor loss -0.613148, critic loss 0.20249
epoch 212: steps 436, actor loss -0.553514, critic loss 0.225032
epoch 213: steps 385, actor loss -0.565225, critic loss 0.184474
epoch 214: steps 522, actor loss -0.591164, critic loss 0.194467
epoch 215: steps 578, actor loss -0.603558, critic loss 0.193107
epoch 216: steps 460, actor loss -0.561276, critic loss 0.180463
epoch 217: steps 476, actor loss -0.541913, critic loss 0.181342
epoch 218: steps 630, actor loss -0.5753, critic loss 0.1806
epoch 219: steps 438, actor loss -0.542099, critic loss 0.172787
epoch 220: steps 401, actor loss -0.512858, critic loss 0.177973
epoch 221: steps 753, actor loss -0.555291, critic loss 0.179307
epoch 222: steps 529, actor loss -0.549515, critic loss 0.169728
epoch 223: steps 585, actor loss -0.559132, critic loss 0.173516
epoch 224: steps 425, actor loss -0.482462, critic loss 0.157956
epoch 225: steps 520, actor loss -0.502637, critic loss 0.16685
epoch 226: steps 542, actor loss -0.534195, critic loss 0.176467
