epoch 218: steps 765, actor loss 0.341874, critic loss 0.257983
epoch 219: steps 757, actor loss 0.350556, critic loss 0.254366
epoch 220: steps 573, actor loss 0.375053, critic loss 0.296195
epoch 221: steps 542, actor loss 0.314089, critic loss 0.288456
epoch 222: steps 612, actor loss 0.356074, critic loss 0.283785
epoch 223: steps 694, actor loss 0.34087, critic loss 0.269838
epoch 224: steps 776, actor loss 0.337096, critic loss 0.257535
epoch 225: steps 750, actor loss 0.335945, critic loss 0.236293
epoch 226: steps 971, actor loss 0.377937, critic loss 0.242116
epoch 227: steps 637, actor loss 0.349933, critic loss 0.261554
epoch 228: steps 946, actor loss 0.345756, critic loss 0.231257
epoch 229: steps 701, actor loss 0.32366, critic loss 0.233629
epoch 230: steps 612, actor loss 0.32256, critic loss 0.235241
epoch 231: steps 729, actor loss 0.343288, critic loss 0.232789
epoch 232: steps 805, actor loss 0.333111, critic loss 0.22134
epoch 233: steps 786, actor loss 0.316832, critic loss 0.236086
epoch 234: steps 1027, actor loss 0.350758, critic loss 0.215968
epoch 235: steps 777, actor loss 0.335519, critic loss 0.204573
epoch 236: steps 1121, actor loss 0.321451, critic loss 0.196447
epoch 237: steps 892, actor loss 0.344504, critic loss 0.226571
epoch 238: steps 828, actor loss 0.333386, critic loss 0.198087
epoch 239: steps 1141, actor loss 0.328209, critic loss 0.202275
epoch 240: steps 698, actor loss 0.301907, critic loss 0.207388
epoch 241: steps 744, actor loss 0.315606, critic loss 0.209958
epoch 242: steps 1109, actor loss 0.318943, critic loss 0.176042
epoch 243: steps 774, actor loss 0.306661, critic loss 0.196964
epoch 244: steps 1038, actor loss 0.306275, critic loss 0.180164
epoch 245: steps 923, actor loss 0.288985, critic loss 0.181619
epoch 246: steps 871, actor loss 0.286526, critic loss 0.202689
epoch 247: steps 769, actor loss 0.280503, critic loss 0.160555
epoch 248: steps 1077, actor loss 0.294144, critic loss 0.173695
epoch 249: steps 917, actor loss 0.312679, critic loss 0.170935
epoch 250: steps 1067, actor loss 0.296379, critic loss 0.202335
epoch 251: steps 899, actor loss 0.311107, critic loss 0.193871
epoch 252: steps 998, actor loss 0.290077, critic loss 0.149794
epoch 253: steps 867, actor loss 0.265573, critic loss 0.159747
epoch 254: steps 970, actor loss 0.260337, critic loss 0.136
epoch 255: steps 875, actor loss 0.261746, critic loss 0.146722
epoch 256: steps 1051, actor loss 0.261578, critic loss 0.134263
epoch 257: steps 1238, actor loss 0.262752, critic loss 0.132865
epoch 258: steps 1408, actor loss 0.254723, critic loss 0.134334
epoch 259: steps 1134, actor loss 0.243368, critic loss 0.162743
epoch 260: steps 1162, actor loss 0.24499, critic loss 0.119381
epoch 261: steps 1164, actor loss 0.232865, critic loss 0.179654
epoch 262: steps 1466, actor loss 0.257642, critic loss 0.12153
epoch 263: steps 1241, actor loss 0.230396, critic loss 0.139766
epoch 264: steps 1405, actor loss 0.230226, critic loss 0.18936
epoch 265: steps 1449, actor loss 0.214932, critic loss 0.112056
epoch 266: steps 1276, actor loss 0.2345, critic loss 0.16279
epoch 267: steps 1672, actor loss 0.225508, critic loss 0.133161
epoch 268: steps 1422, actor loss 0.224353, critic loss 0.134135
epoch 269: steps 1501, actor loss 0.204066, critic loss 0.127111
epoch 270: steps 1564, actor loss 0.216615, critic loss 0.149095
epoch 271: steps 1417, actor loss 0.201692, critic loss 0.15538
epoch 272: steps 1526, actor loss 0.144236, critic loss 0.127023
epoch 273: steps 1843, actor loss 0.155259, critic loss 0.11313
epoch 274: steps 1384, actor loss 0.149179, critic loss 0.221707
epoch 275: steps 1437, actor loss 0.141394, critic loss 0.238293
epoch 276: steps 1762, actor loss 0.150108, critic loss 0.203848
epoch 277: steps 1672, actor loss 0.149978, critic loss 0.119364
epoch 278: steps 1772, actor loss 0.18136, critic loss 0.0718177
epoch 279: steps 1777, actor loss 0.163024, critic loss 0.163337
epoch 280: steps 1540, actor loss 0.152725, critic loss 0.218686
epoch 281: steps 1877, actor loss 0.164407, critic loss 0.102369
epoch 282: steps 1581, actor loss 0.152836, critic loss 0.135279
epoch 283: steps 1466, actor loss 0.153995, critic loss 0.208673
epoch 284: steps 1888, actor loss 0.180437, critic loss 0.137228
epoch 285: steps 1939, actor loss 0.143691, critic loss 0.0422916
epoch 286: steps 1654, actor loss 0.147744, critic loss 0.166614
epoch 287: steps 1768, actor loss 0.180908, critic loss 0.133531
epoch 288: steps 1554, actor loss 0.158349, critic loss 0.201806
epoch 289: steps 1495, actor loss 0.164779, critic loss 0.293531
epoch 290: steps 1640, actor loss 0.160648, critic loss 0.143908
epoch 291: steps 1772, actor loss 0.151783, critic loss 0.15636
epoch 292: steps 1863, actor loss 0.158029, critic loss 0.146268
epoch 293: steps 1321, actor loss 0.175039, critic loss 0.259145
epoch 294: steps 1814, actor loss 0.18036, critic loss 0.177787
epoch 295: steps 1454, actor loss 0.173066, critic loss 0.20015
epoch 296: steps 1465, actor loss 0.214244, critic loss 0.212741
epoch 297: steps 1420, actor loss 0.163957, critic loss 0.253542
epoch 298: steps 1720, actor loss 0.213543, critic loss 0.20097
epoch 299: steps 1646, actor loss 0.214942, critic loss 0.136584
epoch 300: steps 1491, actor loss 0.185327, critic loss 0.215035
epoch 301: steps 1166, actor loss 0.17919, critic loss 0.281002
epoch 302: steps 1537, actor loss 0.265984, critic loss 0.154813
epoch 303: steps 1338, actor loss 0.21768, critic loss 0.168338
epoch 304: steps 1355, actor loss 0.230309, critic loss 0.239368
epoch 305: steps 1454, actor loss 0.224674, critic loss 0.205712
epoch 306: steps 1371, actor loss 0.235695, critic loss 0.218924
epoch 307: steps 1437, actor loss 0.261811, critic loss 0.212589
epoch 308: steps 1518, actor loss 0.238029, critic loss 0.142032
epoch 309: steps 1592, actor loss 0.21105, critic loss 0.121587
epoch 310: steps 1574, actor loss 0.230926, critic loss 0.142292
epoch 311: steps 1714, actor loss 0.215121, critic loss 0.192923
epoch 312: steps 1848, actor loss 0.186351, critic loss 0.0797637
epoch 313: steps 1479, actor loss 0.199051, critic loss 0.134663
epoch 314: steps 1862, actor loss 0.183871, critic loss 0.0792678
epoch 315: steps 1663, actor loss 0.17562, critic loss 0.174956
epoch 316: steps 1978, actor loss 0.173609, critic loss 0.0953642
epoch 317: steps 1716, actor loss 0.167027, critic loss 0.141783
epoch 318: steps 1644, actor loss 0.158742, critic loss 0.183826
epoch 319: steps 1756, actor loss 0.172814, critic loss 0.155433
epoch 320: steps 1890, actor loss 0.148104, critic loss 0.154913
epoch 321: steps 1688, actor loss 0.164632, critic loss 0.137603
epoch 322: steps 1942, actor loss 0.158902, critic loss 0.0719959
epoch 323: steps 1799, actor loss 0.175401, critic loss 0.0872334
epoch 324: steps 1762, actor loss 0.157683, critic loss 0.10174
epoch 325: steps 1915, actor loss 0.145259, critic loss 0.081061
epoch 326: steps 1579, actor loss 0.141615, critic loss 0.194987
epoch 327: steps 1906, actor loss 0.171091, critic loss 0.117188
epoch 328: steps 1893, actor loss 0.136089, critic loss 0.0829172
epoch 329: steps 1937, actor loss 0.13561, critic loss 0.0657368
epoch 330: steps 1942, actor loss 0.145827, critic loss 0.068637
epoch 331: steps 1930, actor loss 0.147575, critic loss 0.049382
epoch 332: steps 1872, actor loss 0.132032, critic loss 0.0928541
epoch 333: steps 1961, actor loss 0.131007, critic loss 0.0488197
epoch 334: steps 1966, actor loss 0.140933, critic loss 0.0520729
